	sent_id	sentence
557	31	मनाली के पास सोलांग नाला और बहांग क्षेत्र में सबसे ज्यादा पांच फीट बर्फबारी हुई । 
573	32	पिछले दो हफ्ते से यहां भारी बर्फबारी की वजह से न्यूनतम तापमान शून्य से १२ डिग्री नीचे चला गया है । 
594	33	धुंडी और कुल्लू में ५६ , भांग में ३१ , सोलांग में २२ और कल्पा में १६.६ सेंटीमीटर बर्फ गिरी है । 
608	34	मौसम विभाग ने यहां अगले २४ घंटे में आंधी - तूफान की आशंका जताई है । 
624	35	चंडीगढ़ में आज का न्यूनतम तापमान ११.८ , अंबाला में १०.६ , करनाल में १२.६ , लुधियाना में १०.५ और पटियाला में ११.६ रहा । 
637	36	अमृतसर का तापमान सबसे कम ६ डिग्री सेल्सियस रहा । 
647	37	राष्ट्रीय उपभोक्ता आयोग ( एनसीसी ) ने परिपक्वता की अवधि से पहले पॉलिसी बंद करने वाले बीमा धारकों के हक़ में फैसला सुनाते हुए डाक विभाग को ग्राहकों की पूरी रक़म लौटाने का आदेश दिया है । 
684	38	दरअसल डाक विभाग ने महाराष्ट्र के तीन बीमा धारकों को यह कहते हुए पूरी रक़म लौटाने से इनकार कर दिया था कि उन लोगों ने पूरी अवधि तक बीमा की रक़म जमा नहीं की और समय से पहले ही पॉलिसी को बंद कर दिया । 
729	39	इस मामले में महाराष्ट्र राज्य उपभोक्ता आयोग के फैसले को बहाल रखते हुए जस्टिस एस. एन. कपूर और जस्टिस बी. के. तामिनी की खंडपीठ ने डाक विभाग को दीपक शेल्का , मारोती सावंत और हरिश सी. गोरखनाथ के पैसे लौटाने के आदेश दिए । 
773	40	इन तीनों ने तीन वर्ष से अधिक समय तक पैसे जमाकर पॉलिसी बंद कर दी थी । 
790	41	खंडपीठ ने अपने फैसले में इन तीनों को एक महीने के अंदर सामूहिक रूप से ३७,००० रुपये लौटाने के आदेश दिए हैं । 
813	42	खंडपीठ डाक विभाग के इस तर्क से सहमत नहीं था कि समय से पहले पॉलिसी बंद करने के कारण तीनों ग्राहक पूरी रक़म के हक़दार नहीं हैं । 
841	43	खंडपीठ ने कहा कि अब हम लोगों को उम्मीद है कि भविष्य में पॉलिसी देने से पहले डाक विभाग प्रत्येक बीमा धारकों को इस बात की जानकारी देगा कि कितने वक्त तक पॉलिसी चलाने पर उन्हें कितनी रक़म वापस की जाएगी । 
883	44	खंडपीठ ने कहा कि बीमा धारकों को पॉलिसी से संबंधित सभी प्रकार की जानकारी उपलब्ध कराई जानी चाहिए । 
902	45	इससे पहले राज्य उपभोक्ता आयोग ने भी तीनों ग्राहकों की रक़म लौटाने के आदेश दिए थे । 
919	46	इस मामले में सर्वोच्च उपभोक्ता निकाय ने कहा कि अगर डाक विभाग ग्राहकों को इस बाबत जानकारी देता तो उन्हें राज्य उपभोक्ता आयोग के फैसले के संशोधन में कोई हिचकिचाहट नहीं होती । 
952	47	कश्मीर घाटी में सुरक्षाबलों ने बड़ी सफलता हासिल करते हुए लश्कर - ए - ताइबा के नेटवर्क का भंडाफोड़ किया है । 
974	48	इस कार्रवाई के तहत लश्कर के दो आतंकी मारे गए और 20 गिरफ्तार कर लिए गए । 
991	49	इन आतंकियों का मुबंई स्टॉक एक्सचेंज सहित दिल्ली व अन्य शहरों में कई महत्वपूर्ण ठिकानों पर हमले की योजना थी । 
1012	50	एक वरिष्ठ पुलिस अधिकारी ने बताया कि 15 जून को अहमदाबाद में जो चार आतंकी पुलिस मुठभेड़ में मारे गए थे उनका संबंध भी इन आतंकियों से था । 
1041	51	जम्मू - कश्मीर के पुलिस महानिदेशक गोपाल शर्मा ने पत्रकारों को बताया कि इन आतंकियों की मुंबई के स्टॉक एक्सचेंज व दिल्ली , अहमदाबाद और पुणे में महत्वपूर्ण ठिकानों पर हमले की योजना थी । 
1076	52	इसके अलावा इनके निशाने पर कई नेता व वरिष्ठ पुलिस अधिकारी भी थे । 
1090	53	श्रीनगर पुलिस के विशेष जांच दल को पता लगा है कि इन आतंकियों का संबंध अहमदाबाद में 15 जून को मुठभेड़ में मारे गए चार आतंकियों से भी था । 
1120	54	गोपाल शर्मा ने बताया कि अहमदाबाद में मारा गया आतंकी बाबर , घाटी से ही वहां भेजा गया था । 
1140	55	उन्होंने कहा कि और जानकारी प्राप्त करने के लिए हम मामले की जांच कर रहे हैं । 
1157	56	गोपाल शर्मा ने बताया कि इन आतंकियों को पिछले तीन दिनों के दौरान श्रीनगर के विभिन्न इलाकों से पकड़ा गया है । 
1179	57	ये आतंकी कुछ बड़े लोगों की हत्याओं में शामिल थे । 
1190	58	इन्हीं आतंकियों ने हुर्रियत नेता मीरवायज मौलवी फारूक के चाचा मौलवी मुस्ताक अहमद की हत्या की थी । 
1208	59	इनके अलावा ये अनेक विस्फोटों और आत्मघाती हमलों में शामिल थे । 
1220	60	शर्मा ने बताया कि लश्कर नेटवर्क के 20 आतंकी गिरफ्तार किए गए हैं । 
1234	61	इसके अलावा सोमवार रात रवलपुरा इलाके में पुलिस द्वारा आतंकी ठिकाने पर कार्रवाई के दौरान दो पाकिस्तानी आतंकी मारे गए । 
1255	62	इस कार्रवाई में पांच पुलिसकर्मी भी घायल हो गए । 
1265	63	आतंकी से आत्मसमर्पण करने को कहा गया लेकिन उसने सुरक्षाबलों पर गोली चलानी शुरू कर दी । 
1282	64	सुरक्षाबलों की जवाबी कार्रवाई में एक आतंकी मारा गया व दूसरा अंधेरे का फायदा उठाकर भाग गया । 
1300	65	मारे गए आतंकी की पहचान अबु शाना के रूप में की गई है । 
1314	66	घटनास्थल से एक ए के राईफल , एक वायरलेस सेट व विस्फोटक बरामद किया गया है । 
1331	67	कांग्रेस का मानना है कि भाजपा ऐसे मुद्दों की तलाश में लगी है जिनके जरिए वह समाज में तनाव पैदा कर सके । 
1354	68	उल्लेखनीय है कि भाजपा शासित मुख्यमंत्रियों के सम्मेलन में आतंकवाद से निपटने के लिए पोटा जैसा कानून बनाने के लिए कहा गया है क्योंकि केंद्र पोटा समाप्त करने की दिशा में काम कर रहा है । 
1389	69	दरअसल भाजपा ने इसके जरिए कांग्रेस के पोटा समापन के जरिए मुस्लिम मतदाताओं को लुभाने के प्रयास के खिलाफ मोरचा खोला है और अपने परंपरागत मतदाताओं को संबोधित करने की कोशिश की है । 
1423	70	ऐन महाराष्ट्र चुनावों से पहले कांग्रेस पोटा हटाकर मुस्लिम मतदाताओं को एक संदेश देना चाहती है । 
1440	71	पाठ्य पुस्तकों के मसले पर भी कांग्रेस शासित राज्यों ने डटकर केंद्र सरकार का विरोध किया था और एनसीईआरटी की किताबों को लागू करने से इन्कार तक कर दिया था । 
1471	72	अब कांग्रेस के सामने कमोबेश वही स्थिति आ खड़ी है , जब भाजपा ने राज्य सरकारों को आतंक से निपटने के लिए पोटा जैसा कानून बनाने के लिए कहा है । 
1502	73	कांग्रेस प्रवक्ता आनंद शर्मा के मुताबिक , पहली बार केंद्र और राज्य अलग - अलग कानून बनाने जा रहे हैं क्योंकि कांग्रेस शासित राज्य सरकारों ने अंत तक पोटा का विरोध किया लेकिन केंद्र ने कानून बना दिया तो उन्होंने उसके खिलाफ कोई कानूनी प्रयास नहीं किया । 
1550	74	कांग्रेस ने भी इसका विरोध इसलिए किया कि उसमें पर्याप्त संरक्षण उपाय नहीं किए गए थे । 
1567	75	कांग्रेस इस मामले में भी बचाव की मुद्रा में है कि पोटा हटाकर केंद्र सरकार सुरक्षा के साथ कोई समझौता नहीं कर रही है । 
1592	76	शर्मा के मुताबिक ' कांग्रेस व यूपीए की सरकार आतंकवाद से सख्ती से निपटने को प्रतिबद्ध है लेकिन वह पोटा के पक्ष में नहीं है 
1617	77	कांग्रेस का कहना है कि उसके इस मामले में कोई राजनीतिक मतभेद नहीं हैं । 
1632	78	केंद्र की नीति है कि बढ़ती जनसंख्या को रोकने की दिशा में प्रयास किए जाने चाहिए । 
1649	79	शर्मा ने कहा कि भाजपा को छह साल पहले इस दिशा में प्रयास करने चाहिए थे , अब तक बेहतर नतीजे आए होते । 
1671	80	अगर आप समझते हैं कि कंडोम का इस्तेमाल परिवार नियोजित करने और एड्स जैसी जानलेवा बीमारियों से बचने के लिए किया जाता है , तो यह गलत है । 
1700	81	कंडोम अब बहुउपयोगी और बड़े काम की चीज बन गया है । 
1712	82	दुनिया में अपनी चमक बिखेरने वाली बनारसी साड़ी की खूबसूरती में इसका बड़ा योगदान है । 
1728	83	कंडोम ' लेटेक्स ' का बना होता है । 
1737	84	इसमें स्पर्मीसाइडल ( चिकनाई ) होती है । 
1745	85	बैंकाक में विश्व एड्स सम्मेलन में कंडोम के दुरुपयोग पर हुए एक सत्र में किंग जॉर्ज मेडिकल कालेज के प्रो. रमाकांत ने अपनी जो रिपोर्ट प्रस्तुत की उसमें कंडोम के ये नए इस्तेमाल सामने आए हैं । 
1782	86	रिपोर्ट के मुताबिक हर साल अरबों की संख्या में लागत से कम और मुफ्त उपलब्ध कराए जाने वाले इन कंडोम का दुरुपयोग बहुत तेजी से बढ़ रहा है । 
1811	87	उन्होंने बताया कि यह देखकर बड़ा ताज्जुब हुआ कि ग्रामीण अंचलों में तो लोग शौच के लिए कंडोम में पानी भर कर ले जाते हैं । 
1837	88	प्रो. रमाकांत की रिपोर्ट भारत में निःशुल्क कंडोम वितरण की पूरी व्यवस्था पर ही सवालिया निशान लगाती है । 
1856	89	रिपोर्ट में बताया गया है कि मात्र २० से २५ फीसदी तक ही मामले में इसका सही उपयोग हो रहा है । 
1878	90	इसका उपयोग अन्य ऐसे कार्यो में धड़ल्ले से किया जाने लगा है , जिसके बारे में शायद आम आदमी सोच भी नही सकता । 
1902	91	उन्होनें बताया कि ल्युब्रीकेंट युक्त लेटेक्स रबर से बने इन कंडोम का उपयोग सड़कों को चिकना करने के लिए भी किया जाने लगा है । 
1927	92	ठेकेदार निःशुल्क मिलने वाले इन कंडोम को काफी तादात में एकत्रित कर लेते है और उन्हें हाट मिक्स प्लांट में तारकोल मिश्रित बजरी में डाल देते है । 
1955	93	जिसके उपयोग से सड़क की ऊपरी सतह काफी चिकनी हो जाती है । 
1968	94	यही नहीं आर्किटेक्ट भी अब कमरे की छतों को बनाने में इसके उपयोग की सलाह देते हैं । 
1982	95	छत बनाते समय भारी मात्रा में कंडोम फैला दिए जाते हैं , फिर इसके ऊपर सीमेंट प्लास्टर कर दिया जाता है । 
2001	96	गरमी से कंडोम फैलकर एक वाटरप्रूफ सतह बना लेते हैं । 
2012	97	इससे छत पूरी तरह लीकप्रूफ हो जाती है और मूसलाधार बारिश में पानी की एक बूंद भी इसमें से रिस नहीं पाती है । 
2036	98	विश्व स्वास्थ्य संगठन की हाल में प्रकाशित एक रिपोर्ट का उल्लेख करते हुए प्रो. रमाकांत ने बताया कि कंडोम के सही उपयोग न होने के कारण ही भारत में सरकार के लाख प्रयास के बावजूद एच. आई. वी. संक्रमण से ग्रसित लोगों की संख्या लगातार बढ़ती ही जा रही है । 
2087	99	जबकि मुफ्त बांटे जाने वाले कंडोम की लागत पर ही सरकार की करोड़ों की धनराशि हर साल खर्च होती है । 
2108	100	उन्होंने कंडोम के सही उपयोग को प्रयोग में लाए जाने में बरती जाने वाली लापरवाही के लिए अशिक्षा व कंडोम के उपयोग के संबंध में भारतीय लोगों के मन में व्याप्त भ्रांतियों को भी जिम्मेदार बताया और इसको दूर करने के लिए जागरुकता कार्यक्रम के साथ ही शिक्षा में इसकी उपयोगिता व प्रयोग में लाने की जानकारी को शामिल किए जाने की वकालत भी की । 
2174	101	अमेरिकी राष्ट्रपति जॉर्ज डब्लू बुश के आगमन पर राजधानी दिल्ली में असाधारण सुरक्षा व्यवस्था की गई हैं । 
2192	102	खासकर चाणक्यपुरी और लुटियन बंगलो वाले क्षेत्र में तो हालात कुछ ऐसे हैं कि परिंदा भी पर नहीं मार सकता । 
2213	103	बुश बुधवार रात को ही दिल्ली पहुंच चुके हैं । 
2223	104	अतिरिक्त पुलिस और अर्द्ध सैनिक बल को उन स्थानों के आसपास तैनात किया गया है , जहां बुश को जाना रहेगा या जहां वह ठहरेंगे । 
2249	105	वैसे उनके ठहरने का इंतजाम मौर्य शेरटन होटल में किया गया है । 
2262	106	जबकि इसके ठीक बगल में स्थित ताज पैलेस होटल पर अमेरिकी और भारतीय सुरक्षा अधिकारियों का कब्जा है । 
2281	107	अमेरिकी गुप्तचरों ने पिछले दो महीने से राजधानी में डेरा डाला हुआ है । 
2295	108	इन गुप्तचरों ने मौर्य शेरटन होटल को लगभग सील कर दिया है । 
2308	109	यहां पर किसी भी खतरे का सामना करने और निगरानी के लिए अत्याधुनिक उपकरण लगाए गए हैं । 
2326	110	दोनों होटलों को जनता के लिए पूरी तरह बंद कर दिया गया है । 
2340	111	दिल्ली पुलिस ने नागरिकों के अलावा परीक्षा देने वाले छात्रों से कहा है कि वे अपने परीक्षा केंद्रों पर सुबह साढ़े आठ बजे ही पहुंच जाएं । 
2367	112	जिससे उन्हें किसी असुविधा का सामना न करना पड़े । 
2377	113	हालांकि परीक्षा सुबह दस बजे शुरू होगी । 
2385	114	बुश का काफिला जिन रास्तों से होकर गुजरेगा , वे आम जनता के लिए लगभग बंद रहेंगे । 
2403	115	राष्ट्रपति भवन में सरकारी स्वागत के बाद बुश को राजघाट जाना है । 
2416	116	भारतीय वायुसेना के हेलिकॉप्टरों ने सुरक्षा जांच के मद्देनजर आज राजधानी के विभिन्न इलाकों में उड़ान भरी । 
2434	117	जिसमें संसद परिसर , राजघाट , होटल और लुटियन बंगलो के क्षेत्र शामिल हैं । 
2449	118	कुछ अमेरिकी अधिकारियों ने कुछ अस्पतालों का भी दौरा किया , जिससे आपातकालीन स्थिति में विभिन्न सेवाओं का इस्तेमाल किया जा सके । 
2472	119	अमेरिका से ही कुछ कारें और चार हेलिकॉप्टर मंगाए गए हैं । 
2484	120	बुश इन अमेरिकी कारों में ही दिल्ली का सफर करेंगे । 
2495	121	बहरहाल , अमेरिकी गुप्तचरों ने उन तरीकों और साधनों पर बात नहीं की , जिसके जरिए वे बुश का बचाव करेंगे । 
2517	122	जब बुश की यात्रा का फैसला वाशिंगटन में लिया गया था तो उस वक्त 250 गुप्तचर मौजूद थे । 
2536	123	इनमें 15 देशों में कार्यरत गुप्तचर भी शामिल हैं । 
2546	124	इन लोगों ने इसके बाद दिल्ली और हैदराबाद का कई बार दौरा किया था । 
2561	125	गोवा प्रकरण को लेकर भाजपा बुधवार को अपनी रणनीति तय करेगी . 
2573	126	इसके लिए प्रदेश के भाजपा और इसके समर्थक विधायक दिल्ली पहुंच गए हैं . 
2587	127	भाजपा प्रवक्ता रवि शंकर प्रसाद ने कहा कि गोवा के भाजपा और इसके समर्थक विधायक दिल्ली पहुंचे हैं . 
2606	128	विधायकों ने भाजपा अध्यक्ष से मुलाकात की है . 
2615	129	गोवा प्रकरण को लेकर पार्टी का रुख क्या रहेगा यह बुधवार को तय होने की संभावना है . 
2633	130	इन सभी मुद्दों पर कल बातचीत होगी . 
2641	131	सत्ता हस्तांतरण के मुद्दे पर चर्चा हुई . 
2649	132	विदित हो कि कर्नाटक में आगामी अक्तूबर में जद ( एस ) भाजपा को मुख्यमंत्री की कुर्सी सौंपेगी . 
2667	133	प्रदेश में दोनों दलों की गठबंधन की सरकार है . 
2677	134	समझौते के मुताबिक अक्तूबर में मुख्यमंत्री कुमार स्वामी भाजपा नेता और उप मुख्यमंत्री येदुरप्पा को कुर्सी सौंपेंगे . 
2695	135	अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू. बुश की आगामी भारत यात्रा से दोनों देशों के बीच कृषि क्षेत्र में सहयोग बढ़ेगा । 
2715	136	यात्रा के दौरान कृषि क्षेत्र में सहयोग के कई समझौतों पर हस्ताक्षर होंगे । 
2729	137	बुश शुक्रवार को हैदराबाद स्थित आचार्य एन. जी. रंगा कृषि विश्वविद्यालय के परिसर का दौरा करेंगे । 
2746	138	भारत और अमेरिका ने कृषि में द्विपक्षीय सहयोग के लिए कई क्षेत्रों को चिन्हित किया है । 
2763	139	अमेरिकी कृषि शोध संस्थानों के साथ भारतीय शोध संस्थानों का रिश्ता दशकों पुराना रहा है । 
2779	140	60 के दशक में विश्वविख्यात अमेरिकी कृषि वैज्ञानिक नॉर्मन बॉरलॉग ने भारत में हरित क्रांति का सूत्रपात करने में उल्लेखनीय योगदान दिया था । 
2803	141	भारतीय कृषि अनुसंधान परिषद ( आईसीएआर ) के महानिदेशक मंगला राय ने बताया कि बुश की यात्रा से दोनों देशों के शोध संस्थानों और कृषि विश्वविद्यालयों के बीच सहयोग को भारी बढ़ावा मिलेगा । 
2837	142	उन्होंने कहा कि जैव तकनीकी , कृषि मानव संसाधन विकास , व्यवसायीकरण के लिए कृषि उत्पाद विकास एवं जल तकनीकी क्षेत्र में सहयोग बढ़ाया जाएगा । 
2863	143	पिछले साल नवंबर में भारतीय कृषि मंत्रालय एवं अमेरिकी कृषि विभाग के बीच एक सहमति पर हस्ताक्षर हुआ था । 
2883	144	इस समझौते में कृषि शिक्षा , शिक्षण , शोध , कृषि सेवा आदि क्षेत्रों में सहयोग की गुंजाइश बढ़ाने पर जोर दिया गया था । 
2904	145	करीब 23 अमेरिकी विश्वविद्यालयों ने भारत के 39 कृषि विश्वविद्यालयों और कृषि संस्थानों के साथ सहयोग की इच्छा जताई है । 
2925	146	राष्ट्रपति एपीजे अब्दुल कलाम ने संयुक्त राष्ट्र ( यूएन ) में सुधार पर जोर देते हुए कहा है कि बदलाव से यह ज्यादा लोकतांत्रिक व पारदर्शी बनेगा । 
2953	147	जबकि एक अन्य कार्यक्रम में उन्होंने वैज्ञानिकों का आह्वान किया कि वे सूचना प्रौद्योगिकी ( आईटी ) और उपग्रह संचार के जरिए भूकंप की भविष्यवाणियों पर अनुसंधान करें जिससे लोगों को समय रहते सचेत किया जा सके । 
2991	148	भारत इस शोध में पूरी मदद देने को तैयार है । 
3002	149	आइसलैंड के राष्ट्रपति ओलाफुर रैगनार ग्रिमसन द्वारा कलाम के सम्मान में आयोजित कार्यक्रम में कलाम ने कहा कि भारत - आइसलैंड में बहुआयामी लोकतंत्र , मानवाधिकार और सामाजिक पर्यावरण में सहिष्णुता व आजादी जैसी कई बातें व सामाजिक मूल्य समान हैं । 
3044	150	हमारा विश्वास है कि संयुक्त राष्ट्र के ढांचे में सुधार की सख्त जरूरत है जिससे इसे मौजूदा दौर की हकीकतों के हिसाब से और लोकतांत्रिक व पारदर्शी बनाया जा सके । 
3075	151	उन्होंने आइसलैंड की इस बात के लिए सराहना की कि वह सैद्धांतिक रूप से लगातार इस बात पर कायम है और समर्थन दे रहा है कि भारत को संयुक्त राष्ट्र सुरक्षा परिषद में स्थायी सीट मिले । 
3112	152	एक अन्य कार्यक्रम में कलाम ने आइसलैंड के वैज्ञानिकों को संबोधित करते हुए कहा कि सूचना प्रौद्योगिकी व उपग्रह संचार का इस्तेमाल भूकंप संबंधी भविष्यवाणियों के लिए किया जाना चाहिए । 
3143	153	उन्होंने दोनों देशों के लिए आपदा प्रबंधन में भारतीय उपग्रहों की मदद लेने को भी कहा । 
3160	154	उन्होंने कहा कि आपदा प्रबंधन कार्यक्रम में सूचना प्रौद्योगिकी का इस्तेमाल जीआईएस , रिमोट सेंसिंग , उपग्रह संचार और इंटरनेट के रूप में बड़ी भूमिका निभा सकता है । 
3189	155	भारतीय तटरक्षकों ने आज एक बड़े बचाव अभियान को अंजाम देते हुए लहरों में बहकर भारतीय क्षेत्र के एक द्वीप में शरण लिए ३५ बंगलादेशी मछुआरों की जान बचाई । 
3219	156	एक नाव में सवार ये मछुआरे पोर्टब्लेयर से उत्तर नारकोंडम द्वीप पर उतर गए थे । 
3235	157	रक्षा सूत्रों ने बताया कि यहां से भारतीय तटरक्षक जहाज ' अक्कादेवी ' ने उन्हें बचाया । 
3252	158	उन्होंने बताया कि इन बांग्लादेशी मछुआरों ने तीन नावों को जोड़कर २८ दिसंबर को एक नौका बनाई थी । 
3271	159	इनमें से दो समुद्र की लहरों के कारण बह गई और वे एक नाव पर सवार होकर बचे । 
3290	160	द्वीप पर उतरने के बाद उन्होंने स्थानीय पुलिस को सूचना दी , जिसने अंडमान और निकोबार कमांड को सचेत कर दिया । 
3312	161	गश्त पर निकले तटरक्षकों के जहाज ने उन्हें बचाया । 
3322	162	पोर्ट ब्लेयर ले जाकर उन्हें इलाज और भोजन दिया जा रहा है । 
3335	163	बिहार में बृहस्पतिवार को पटाखे की दो फैक्ट्रियों में हुए जबरदस्त विस्फोट में कम से कम ३२ लोगों की मौत हो गई । 
3358	164	विस्फोट में लगभग ५० लोगों के घायल होने की खबर है । 
3370	165	दोनों फैक्ट्रियां राजधानी पटना से ५० किलोमीटर दूर खुशरुपुर के मियां टोली में स्थित हैं । 
3386	166	जिला मजिस्ट्रेट बी. राजेंद्र ने घटना में ३२ लोगों की मौत होने और २४ लोगों के घायल होने की पुष्टि की है । 
3409	167	फतुहा अस्पताल के चिकित्सा अधिकारी आर. एन. पी. सिन्हा ने बताया कि २५ घायलों को पटना के नालंदा मेडिकल कॉलेज व हॉस्पिटल में भेज दिया गया है । 
